No.,Building Code,Room Code,room_capacity_indicator,room_capacity_value,room_category_1,room_category_2,room_category_3,room_category_4,room_category_5,room_category_6,room_category_7,room_category_8,room_category_NA,room_area_indicator,room_area_value,room_riv_rate_indicator,room_riv_rate_value,room_age_indicator,room_age_value,room_assessment_condition_rating_indicator,room_assessment_condition_rating_value,room_space_quality_indicator,room_space_quality_value
149,102,213,1,0,0,0,0,1,0,0,0,0,0,0,0.001520559,0,0.262266019,0,0.09202454,0,0.09202454,0,1
150,102,214,1,0,0,0,0,1,0,0,0,0,0,0,0.001672481,0,0.262266019,0,0.09202454,0,0.09202454,0,1
151,102,215,1,0,0,0,0,1,0,0,0,0,0,0,0.001584526,0,0.262266019,0,0.09202454,0,0.09202454,0,1
152,102,216,1,0,0,0,0,1,0,0,0,0,0,0,0.001743112,0,0.262266019,0,0.09202454,0,0.09202454,0,1
153,102,217,0,0.023529412,0,0,1,0,0,0,0,0,0,0,0.011624746,0,0.262266019,0,0.09202454,0,0.09202454,0,1
154,102,218,0,0.035294118,0,0,1,0,0,0,0,0,0,0,0.018647835,0,0.262266019,0,0.09202454,0,0.09202454,0,1
155,102,219,1,0,0,0,0,1,0,0,0,0,0,0,0.001584526,0,0.262266019,0,0.09202454,0,0.09202454,0,1
156,102,220,1,0,0,0,0,1,0,0,0,0,0,0,0.001737782,0,0.262266019,0,0.09202454,0,0.09202454,0,1
157,102,221,1,0,0,0,0,1,0,0,0,0,0,0,0.001521892,0,0.262266019,0,0.09202454,0,0.09202454,0,1
158,102,222,1,0,0,0,0,1,0,0,0,0,0,0,0.001537883,0,0.262266019,0,0.09202454,0,0.09202454,0,1
159,102,223,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.003923335,0,0.262266019,0,0.09202454,0,0.09202454,0,1
160,102,224,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.001672481,0,0.262266019,0,0.09202454,0,0.09202454,0,1
161,102,225,1,0,0,0,0,1,0,0,0,0,0,0,0.001196724,0,0.262266019,0,0.09202454,0,0.09202454,0,1
162,102,226,1,0,0,0,0,0,0,0,0,1,0,0,0.00098883,0,0.262266019,0,0.09202454,0,0.09202454,0,1
163,102,227,1,0,0,0,0,0,0,0,0,1,0,0,0.000633011,0,0.262266019,0,0.09202454,0,0.09202454,0,1
